,AAPL,ABT,AMD,ANET,AVGO,BAC,BBY,BMY,CEG,COP,CVX,ETN,GE,HD,JPM,KO,LLY,MMM,NVDA,PEP,SMCI,TFC,TSM,UNH,USB,VRT,VST,WFC,WMT,XOM,JNJ
2026-04-28,270.760009765625,,,,399.8299865722656,52.68000030517578,,58.27000045776367,305.70001220703125,124.33000183105467,,413.1600036621094,289.20001220703125,329.0799865722656,311.5199890136719,78.38999938964844,874.4299926757812,146.02499389648438,213.1499938964844,156.27999877929688,27.26000022888184,51.15999984741211,392.1199951171875,366.739990234375,56.22499847412109,305.0299987792969,161.0800018310547,81.5,127.58999633789062,150.60499572753906,227.77999877929688
2026-04-29,270.19000244140625,91.36000061035156,337.07000732421875,168.69000244140625,405.5799865722656,52.88999938964844,58.720001220703125,57.59000015258789,297.0,128.25,192.2100067138672,410.9299926757813,283.6000061035156,322.8099975585937,309.239990234375,78.9000015258789,851.3099975585938,143.88999938964844,209.3000030517578,155.2899932861328,26.30500030517578,50.665000915527344,393.7900085449219,370.7099914550781,56.185001373291016,306.2099914550781,153.7550048828125,81.5199966430664,128.0449981689453,154.6699981689453,227.33999633789065
2026-04-30,271.3599853515625,,354.3500061035156,172.72000122070312,417.4400024414063,53.47999954223633,60.4900016784668,60.560001373291016,313.0,125.79000091552734,193.33999633789065,433.1400146484375,,328.8099975585937,313.2699890136719,78.7699966430664,934.3099975585938,146.5,199.52999877929688,158.4499969482422,27.399999618530277,51.47499847412109,396.0299987792969,370.489990234375,56.68000030517578,328.3299865722656,157.80999755859375,82.26000213623047,131.89999389648438,154.38999938964844,229.8600006103516
2026-05-01,,89.46499633789062,360.5499877929688,172.75999450683594,421.2799987792969,53.22499847412109,60.04499816894531,58.19499969482422,307.8099975585937,123.16999816894533,190.6199951171875,425.4400024414063,286.4800109863281,323.8800048828125,,78.57499694824219,963.7100219726562,142.5050048828125,198.4199981689453,157.41000366210938,27.07999992370605,50.93999862670898,397.839599609375,368.8299865722656,56.29999923706055,328.3299865722656,155.27999877929688,80.80999755859375,131.60000610351562,,227.1999969482422
2026-05-04,276.8399963378906,87.56999969482422,341.489990234375,172.63999938964844,416.4700012207031,52.244998931884766,57.66999816894531,57.380001068115234,,124.93000030517578,192.3500061035156,422.5799865722656,280.4200134277344,312.489990234375,307.70001220703125,78.19000244140625,968.489990234375,141.57000732421875,198.55999755859372,154.58999633789062,27.90999984741211,49.494998931884766,401.6799926757813,370.75,55.25,330.9700012207031,160.88999938964844,79.2249984741211,130.36000061035156,153.77499389648438,224.1999969482422
2026-05-05,284.1700134277344,87.17500305175781,355.32000732421875,170.22000122070312,427.5,53.13999938964844,57.27999877929688,56.935001373291016,320.489990234375,123.3499984741211,192.66000366210935,411.0,286.67999267578125,315.4200134277344,309.4700012207031,78.51000213623047,988.4600219726562,142.8300018310547,196.5,155.0399932861328,27.878999710083008,49.9640007019043,394.3599853515625,363.7850036621094,55.59999847412109,340.9849853515625,160.3800048828125,79.8949966430664,130.80999755859375,154.8800048828125,225.5800018310547
2026-05-06,287.5299987792969,86.25,421.4249877929688,147.0500030517578,425.2799987792969,,58.68000030517578,,322.739990234375,118.87999725341795,,421.2650146484375,305.739990234375,323.0299987792969,314.8800048828125,79.19499969482422,987.0499877929688,146.5399932861328,207.6649932861328,155.91000366210938,34.650001525878906,50.79499816894531,419.4400024414063,367.1000061035156,56.130001068115234,358.8900146484375,158.2100067138672,80.38500213623047,130.05999755859375,148.55999755859375,224.5
2026-05-07,287.4700012207031,87.0199966430664,408.3500061035156,,412.5899963378906,52.75,58.525001525878906,56.244998931884766,311.2900085449219,114.88500213623048,182.5399932861328,399.0899963378906,302.6199951171875,322.6700134277344,306.3800048828125,,975.719970703125,143.75,211.50999450683597,156.25999450683594,33.630001068115234,49.7599983215332,414.25,369.6499938964844,55.310001373291016,340.07000732421875,154.0050048828125,79.16000366210938,130.24000549316406,146.4949951171875,222.5
2026-05-08,293.2799987792969,84.30000305175781,455.0,141.77999877929688,429.8977966308594,51.290000915527344,59.38999938964844,56.16999816894531,303.67999267578125,113.81999969482422,181.4600067138672,401.7099914550781,297.1199951171875,317.4200134277344,302.1700134277344,78.41999816894531,948.3699951171876,143.3000030517578,215.2100067138672,154.58999633789062,35.369998931884766,49.11000061035156,411.5299987792969,379.8200073242188,55.52999877929688,339.92498779296875,147.72999572753906,75.63999938964844,130.3800048828125,144.39999389648438,221.3500061035156
2026-05-11,292.739990234375,82.56999969482422,458.9100036621094,,,50.540000915527344,57.630001068115234,55.66999816894531,299.8699951171875,115.54000091552734,184.7700042724609,419.1400146484375,300.92999267578125,311.3999938964844,299.94000244140625,78.69000244140625,967.1400146484376,143.35000610351562,219.47999572753903,149.39999389648438,33.51499938964844,47.970001220703125,404.4500122070313,384.4400024414063,54.4900016784668,368.010009765625,152.0800018310547,73.58000183105469,127.58499908447266,149.67999267578125,221.44000244140625
2026-05-12,294.8699951171875,84.375,448.2139892578125,142.56500244140625,,50.79999923706055,57.18999862670898,56.45000076293945,293.6099853515625,117.88999938964844,,401.6499938964844,297.5299987792969,,304.989990234375,80.1050033569336,990.0399780273438,143.25999450683594,220.8699951171875,151.8800048828125,32.80500030517578,47.79499816894531,397.2699890136719,396.510009765625,54.47999954223633,367.2300109863281,146.8699951171875,75.19999694824219,130.38999938964844,,224.33999633789065
2026-05-13,298.8800048828125,83.81999969482422,445.3800048828125,140.6300048828125,416.8999938964844,49.84000015258789,55.4900016784668,56.38999938964844,274.8900146484375,117.38999938964844,185.9900054931641,407.0700073242188,294.760009765625,302.6199951171875,300.32000732421875,,1015.9400024414062,147.1199951171875,225.8699951171875,149.25999450683594,31.98500061035156,46.540000915527344,399.6950073242188,401.1099853515625,52.7599983215332,370.0799865722656,142.57000732421875,73.5250015258789,131.47999572753906,151.58999633789062,230.44000244140625
2026-05-14,298.1650085449219,84.8949966430664,449.6300048828125,147.77999877929688,439.4599914550781,49.84999847412109,56.68000030517578,56.78499984741211,275.239990234375,118.9499969482422,186.63999938964844,408.2300109863281,291.5799865722656,304.4200134277344,300.0150146484375,80.4800033569336,1007.7949829101562,145.13999938964844,235.7449951171875,148.66000366210938,33.029998779296875,47.125,417.760009765625,399.125,53.42499923706055,376.1700134277344,141.88999938964844,73.79499816894531,132.44000244140625,152.77499389648438,230.8300018310547
2026-05-15,300.2200012207031,84.4800033569336,423.7300109863281,141.98500061035156,425.75,49.76499938964844,56.29999923706055,57.01499938964844,,122.41000366210938,,399.5700073242188,281.5299987792969,297.5299987792969,,80.82499694824219,1005.2100219726562,146.22000122070312,225.22999572753903,149.1300048828125,31.03499984741211,46.95500183105469,404.4200134277344,393.8200073242188,53.125,370.9500122070313,139.6699981689453,73.41999816894531,131.50999450683594,157.92999267578125,226.7350006103516
2026-05-18,,87.875,421.0199890136719,141.72000122070312,420.6900024414063,50.71500015258789,57.88999938964844,57.31499862670898,262.0799865722656,124.55999755859376,,381.9100036621094,286.0199890136719,300.0400085449219,300.7749938964844,81.22000122070312,988.1900024414062,152.51499938964844,222.3500061035156,149.0500030517578,30.86000061035156,47.04999923706055,396.010009765625,391.1199951171875,53.45000076293945,339.7900085449219,136.75,74.4000015258789,133.36000061035156,160.47999572753906,229.0200042724609
2026-05-19,298.9800109863281,88.83499908447266,414.1099853515625,141.57000732421875,411.1099853515625,50.72499847412109,59.29999923706055,58.31999969482422,,125.12000274658205,197.32000732421875,371.8900146484375,285.3099975585937,302.44000244140625,295.8699951171875,81.93499755859375,1021.4099731445312,149.32000732421875,220.6300048828125,150.3300018310547,30.56999969482422,46.790000915527344,392.6449890136719,389.3399963378906,53.30500030517578,322.4599914550781,134.71380615234375,74.57499694824219,134.1999969482422,162.6199951171875,230.02999877929688
2026-05-20,302.2650146484375,88.37999725341797,447.5799865722656,140.4499969482422,417.5199890136719,51.14500045776367,60.959999084472656,58.52000045776367,281.25,122.33999633789062,191.3600006103516,379.7099914550781,300.17999267578125,310.5950012207031,301.9700012207031,81.55000305175781,1018.469970703125,,223.43499755859372,149.24000549316406,33.459999084472656,,,,,,,,,156.2949981689453,229.33999633789065
2026-05-21,305.0899963378906,87.76000213623047,449.5899963378906,148.55999755859375,414.5299987792969,51.470001220703125,,59.53499984741211,285.7799987792969,120.54000091552734,191.0200042724609,381.5199890136719,301.75,313.8299865722656,302.9599914550781,81.16000366210938,1041.6800537109375,151.60000610351562,219.5,148.8699951171875,33.45000076293945,47.88999938964844,407.1600036621094,382.510009765625,54.55500030517578,323.44000244140625,149.0800018310547,75.9000015258789,121.33000183105467,155.27999877929688,231.72000122070312
2026-05-22,308.8800048828125,87.41000366210938,467.510009765625,154.00999450683594,414.1199951171875,51.79999923706055,61.630001068115234,59.470001220703125,294.0,120.45999908447266,191.42999267578125,391.3900146484375,302.7900085449219,312.9849853515625,306.3699951171875,81.48999786376953,1065.6500244140625,152.4499969482422,215.25,150.55999755859375,35.58000183105469,48.38999938964844,404.3399963378906,388.5799865722656,54.82500076293945,327.4700012207031,156.27000427246094,76.4000015258789,120.26000213623048,154.86500549316406,234.3800048828125
2026-05-26,308.3800048828125,86.66999816894531,503.6199951171875,158.00999450683594,421.7699890136719,52.22999954223633,63.22999954223633,,301.4100036621094,,184.72000122070312,403.30999755859375,314.4700012207031,310.57000732421875,306.82000732421875,,1066.1800537109375,154.0800018310547,214.8300018310547,145.67999267578125,37.084999084472656,48.68000030517578,412.4700012207031,377.0499877929688,55.220001220703125,323.9700012207031,164.55999755859375,77.5250015258789,118.5749969482422,,230.30999755859372
2026-05-27,310.92999267578125,85.68000030517578,,154.36000061035156,421.9400024414063,51.09999847412109,,57.52999877929688,288.67999267578125,115.16999816894533,182.3999938964844,406.4500122070313,317.32000732421875,318.010009765625,299.2699890136719,81.62000274658203,,155.17999267578125,212.5800018310547,147.74000549316406,38.18999862670898,48.45500183105469,422.7200012207031,384.0899963378906,54.685001373291016,319.760009765625,160.16000366210938,76.08999633789062,118.54499816894533,148.0,231.32000732421875
2026-05-28,312.5,86.26499938964844,,155.25999450683594,426.5799865722656,50.83000183105469,74.73999786376953,,286.3800048828125,114.98999786376952,183.1300048828125,401.9599914550781,320.7900085449219,321.239990234375,296.6400146484375,80.44000244140625,1127.4599609375,152.83999633789062,214.3000030517578,146.25,41.310001373291016,47.790000915527344,424.7900085449219,382.4100036621094,54.43999862670898,314.1400146484375,160.26499938964844,76.63999938964844,118.9000015258789,147.0,230.82000732421875
2026-05-29,312.07000732421875,85.58499908447266,516.4000244140625,,447.2099914550781,51.61000061035156,77.93000030517578,57.185001373291016,287.69000244140625,113.98999786376952,182.4600067138672,400.8200073242188,323.875,317.1400146484375,299.3999938964844,79.0199966430664,1105.364990234375,153.1699981689453,211.1499938964844,144.1699981689453,46.09999847412109,48.20000076293945,418.6099853515625,380.2799987792969,54.845001220703125,316.0,160.25,77.55000305175781,115.70999908447266,145.3699951171875,225.2400054931641
2026-06-01,,87.73999786376953,510.0199890136719,170.7100067138672,459.9599914550781,51.51499938964844,74.9800033569336,54.935001373291016,265.69000244140625,115.54000091552734,185.8300018310547,400.1400146484375,324.6700134277344,,296.6849975585937,78.62999725341797,1082.0,150.92999267578125,224.4199981689453,141.5399932861328,46.880001068115234,46.880001068115234,436.0050048828125,379.8399963378906,53.54999923706055,323.3800048828125,154.75,77.20999908447266,114.59500122070312,149.47000122070312,223.5399932861328
2026-06-02,315.19000244140625,86.95500183105469,521.4099731445312,175.2899932861328,481.5400085449219,52.5,72.79000091552734,54.45000076293945,272.6600036621094,116.87000274658205,187.6300048828125,417.7300109863281,317.7300109863281,311.5799865722656,300.989990234375,78.43499755859375,1064.6300048828125,152.91000366210938,222.82000732421875,141.97000122070312,50.16999816894531,48.1150016784668,446.7000122070313,377.9400024414063,54.6150016784668,334.4800109863281,157.97000122070312,79.43499755859375,113.03500366210938,149.64999389648438,222.9199981689453
2026-06-03,310.3800048828125,87.0199966430664,542.4338989257812,174.4600067138672,478.0700073242188,52.41999816894531,71.73999786376953,54.7400016784668,267.29998779296875,119.09500122070312,189.82000732421875,,315.010009765625,313.0199890136719,,,,151.66000366210938,214.8350067138672,142.57000732421875,47.41999816894531,47.43000030517578,437.1000061035156,377.0,53.14500045776367,331.56500244140625,153.8300018310547,78.69499969482422,116.91999816894533,152.7100067138672,223.57000732421875
2026-06-04,311.1600036621094,90.72000122070312,523.1900024414062,166.08999633789062,,54.11000061035156,,,264.7300109863281,119.2300033569336,188.33999633789065,,,310.010009765625,310.8900146484375,76.83999633789062,1125.3800048828125,152.8000030517578,218.71499633789065,142.14999389648438,46.88999938964844,49.17499923706055,444.8999938964844,396.55999755859375,55.459999084472656,323.9200134277344,153.66000366210938,81.6050033569336,117.75499725341795,152.08999633789062,228.22000122070312
2026-06-05,307.3900146484375,91.06500244140624,466.3760986328125,,385.7300109863281,53.83000183105469,71.53500366210938,57.275001525878906,254.88999938964844,117.1449966430664,187.3699951171875,395.9450073242188,328.0799865722656,310.7799987792969,,79.5,1132.530029296875,153.74000549316406,205.10499572753903,141.86000061035156,41.630001068115234,49.20000076293945,415.2300109863281,399.6000061035156,55.68999862670898,300.4200134277344,148.7449951171875,81.96499633789062,118.9000015258789,150.02000427246094,232.8000030517578
